scheme,subtype,resolution,forecast_date,target_date,horizon,location,variant,median,truth,abs_error,wis,partition_size,cov_50,width_50,lo_50,hi_50,cov_80,width_80,lo_80,hi_80,cov_95,width_95,lo_95,hi_95
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,North America,J.2.4,0.007,0.0,0.007,0.004999999999999999,13,0,0.003999999999999999,0.005,0.009,0,0.006999999999999999,0.004,0.011,0,0.012,0.003,0.015
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,Oceania,J.2,0.0,0.0,0.0,0.0001142857142857143,13,1,0.001,0.0,0.001,1,0.001,0.0,0.001,1,0.002,0.0,0.002
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,Oceania,J.2.2,0.002,0.0,0.002,0.001292857142857143,13,0,0.001,0.001,0.002,0,0.002,0.001,0.003,0,0.003,0.001,0.004
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,Oceania,J.2.3,0.0,0.0,0.0,5.0000000000000016e-05,13,1,0.0,0.0,0.0,1,0.001,0.0,0.001,1,0.003,0.0,0.003
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,Oceania,J.2.4:160K,0.0,0.0,0.0,0.00015000000000000001,13,1,0.001,0.0,0.001,1,0.002,0.0,0.002,1,0.003,0.0,0.003
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,Oceania,J.2.4:62R-158D-160K-328A,0.01,0.017,0.007000000000000001,0.0027428571428571432,13,0,0.008,0.007,0.015,1,0.015,0.005,0.02,1,0.024,0.004,0.028
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,Oceania,J.2.4:79V-144N-158D-160K-328A,0.002,0.0,0.002,0.0008785714285714285,13,0,0.002,0.001,0.003,1,0.004,0.0,0.004,1,0.007,0.0,0.007
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,Oceania,K,0.769,0.729,0.040000000000000036,0.021721428571428576,13,1,0.11499999999999999,0.699,0.814,1,0.19599999999999995,0.654,0.85,1,0.30700000000000005,0.579,0.886
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,Oceania,K:145N,0.002,0.008,0.006,0.002985714285714286,13,0,0.002,0.001,0.003,0,0.007,0.0,0.007,1,0.01,0.0,0.01
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,Oceania,K:272T,0.003,0.017,0.014000000000000002,0.007342857142857144,13,0,0.005,0.002,0.007,0,0.009999999999999998,0.001,0.011,1,0.018,0.001,0.019
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,Oceania,K:80K,0.176,0.229,0.05300000000000002,0.023878571428571433,13,1,0.11399999999999999,0.135,0.249,1,0.208,0.099,0.307,1,0.311,0.067,0.378
emerging_haplotype,h3n2,region,2025-12-23,2025-12-30,7,Oceania,K:88I,0.018,0.0,0.018,0.012392857142857141,13,0,0.013000000000000001,0.012,0.025,0,0.022,0.01,0.032,0,0.037,0.006,0.043
