forecast_date,horizon,hbin,truth,naive,naive_wis,model_wis,model_abs,naive_abs,naive_cov_50,naive_cov_80,naive_cov_95,model_cov_50,model_cov_80,model_cov_95
2023-10-09,4,1-7d,0.064,0.0424285714285714,0.016665918367346943,0.0194428571428571,0.03,0.021571428571428602,0,1,1,0,0,0
2023-10-09,5,1-7d,0.064,0.0424285714285714,0.016665918367346943,0.0200785714285714,0.031,0.021571428571428602,0,1,1,0,0,0
2023-10-09,6,1-7d,0.063,0.0424285714285714,0.016237346938775515,0.0191571428571428,0.03,0.0205714285714286,0,1,1,0,0,0
2023-10-09,7,1-7d,0.063,0.0424285714285714,0.016237346938775515,0.0200785714285714,0.031,0.0205714285714286,0,1,1,0,0,0
2023-10-09,1,1-7d,0.443,0.2538571428571428,0.16235775510204084,0.2469285714285714,0.2769999999999999,0.18914285714285722,0,0,0,0,0,0
2023-10-09,2,1-7d,0.442,0.2538571428571428,0.16135775510204087,0.2522142857142857,0.282,0.18814285714285722,0,0,0,0,0,0
2023-10-09,3,1-7d,0.44,0.2538571428571428,0.15935775510204087,0.2581571428571428,0.289,0.18614285714285722,0,0,0,0,0,0
2023-10-09,4,1-7d,0.439,0.2538571428571428,0.15835775510204084,0.2634142857142857,0.294,0.18514285714285722,0,0,0,0,0,0
2023-10-09,5,1-7d,0.437,0.2538571428571428,0.15635775510204084,0.2694142857142857,0.3,0.18314285714285722,0,0,0,0,0,0
2023-10-09,6,1-7d,0.436,0.2538571428571428,0.15535775510204086,0.2741642857142857,0.305,0.18214285714285722,0,0,0,0,0,0
2023-10-09,7,1-7d,0.435,0.2538571428571428,0.15435775510204083,0.2789071428571428,0.31,0.18114285714285722,0,0,0,0,0,0
2023-10-09,1,1-7d,0.073,0.0401428571428571,0.021502653061224498,0.0548571428571428,0.0579999999999999,0.0328571428571429,0,1,1,0,0,0
2023-10-09,2,1-7d,0.073,0.0401428571428571,0.021502653061224498,0.0555642857142857,0.059,0.0328571428571429,0,1,1,0,0,0
2023-10-09,3,1-7d,0.073,0.0401428571428571,0.021502653061224498,0.0561285714285714,0.059,0.0328571428571429,0,1,1,0,0,0
2023-10-09,4,1-7d,0.073,0.0401428571428571,0.021502653061224498,0.0567499999999999,0.06,0.0328571428571429,0,1,1,0,0,0
2023-10-09,5,1-7d,0.073,0.0401428571428571,0.021502653061224498,0.0573857142857142,0.06,0.0328571428571429,0,1,1,0,0,0
2023-10-09,6,1-7d,0.072,0.0401428571428571,0.021074081632653067,0.0570214285714285,0.06,0.031857142857142896,0,1,1,0,0,0
2023-10-09,7,1-7d,0.072,0.0401428571428571,0.021074081632653067,0.0572857142857142,0.06,0.031857142857142896,0,1,1,0,0,0
2023-10-09,1,1-7d,0.201,0.2544285714285714,0.01733938775510203,0.0028285714285714,0.0059999999999999,0.05342857142857138,0,1,1,0,0,1
2023-10-09,2,1-7d,0.199,0.2544285714285714,0.01819653061224489,0.0027642857142857,0.0059999999999999,0.05542857142857138,0,1,1,0,0,1
2023-10-09,3,1-7d,0.197,0.2544285714285714,0.019053673469387748,0.0027642857142857,0.006,0.057428571428571384,0,1,1,0,0,1
2023-10-09,4,1-7d,0.195,0.2544285714285714,0.019910816326530602,0.0027357142857142,0.006,0.059428571428571386,0,1,1,0,0,1
2023-10-09,5,1-7d,0.194,0.2544285714285714,0.02033938775510203,0.0019071428571428,0.004,0.06042857142857139,0,1,1,0,1,1
2023-10-09,6,1-7d,0.192,0.2544285714285714,0.02119653061224489,0.0017,0.004,0.06242857142857139,0,1,1,0,1,1
2023-10-09,7,1-7d,0.19,0.2544285714285714,0.022053673469387747,0.0017,0.004,0.06442857142857139,0,1,1,0,1,1
2023-10-09,1,1-7d,0.135,0.2085714285714285,0.025972040816326505,0.0009571428571428,0.002,0.07357142857142848,0,1,1,1,1,1
