rep,level,n,n_pairs,mcb_exact,mcb_linear,gap,rel_gap
8,95,600,176883,0.8866849999999993,0.8644116666666659,0.022273333333333367,0.02511978135790431
9,50,600,184196,0.0807666666666667,0.07723666666666669,0.0035300000000000054,0.043706149401568355
9,80,600,180813,0.24912833333333342,0.24175166666666675,0.00737666666666667,0.029609906540805614
9,95,600,177443,1.094264999999999,1.079659999999999,0.014604999999999979,0.013346858393533553
10,50,600,183393,0.06866833333333332,0.0653683333333333,0.0033000000000000113,0.04805708599305859
10,80,600,179763,0.22245500000000004,0.21460166666666672,0.007853333333333323,0.03530302008645938
10,95,600,175987,1.019036666666666,1.0016716666666658,0.017365000000000075,0.01704060370742311
11,50,600,184341,0.058625,0.05518166666666666,0.00344333333333334,0.05873489694385228
11,80,600,180558,0.20734833333333336,0.19773666666666667,0.009611666666666685,0.046355167230666676
11,95,600,176516,0.9408466666666658,0.9201516666666658,0.02069500000000002,0.02199614531592116
12,50,600,183477,0.07065833333333331,0.06706499999999997,0.0035933333333333373,0.05085505366198852
12,80,600,180139,0.22306333333333336,0.21322166666666667,0.009841666666666693,0.04412050389276599
12,95,600,176277,0.9851299999999992,0.9664866666666658,0.018643333333333345,0.018924744280788688
13,50,600,182709,0.07168333333333335,0.06926000000000003,0.002423333333333319,0.03380609160660291
13,80,600,179419,0.24284333333333336,0.23176333333333338,0.011079999999999979,0.04562612383841425
13,95,600,175657,1.0710483333333323,1.0503266666666655,0.02072166666666675,0.019347088288888398
14,50,600,185028,0.06801999999999997,0.06543666666666664,0.0025833333333333264,0.03797902577673225
14,80,600,181921,0.22594500000000003,0.21896500000000002,0.006980000000000014,0.030892473832127346
14,95,600,178375,1.0102016666666658,0.9931766666666658,0.017024999999999957,0.01685307059151553
15,50,600,182964,0.07367666666666665,0.07061333333333332,0.0030633333333333346,0.041578066325838145
15,80,600,179480,0.23490333333333338,0.22380666666666668,0.011096666666666699,0.04723928992067672
15,95,600,175639,1.0299999999999987,1.0112366666666655,0.018763333333333243,0.018216828478964338
16,50,600,183338,0.06460833333333334,0.060231666666666656,0.0043766666666666815,0.0677415194118408
16,80,600,180061,0.21663833333333332,0.20615833333333336,0.010479999999999962,0.04837555680358183
16,95,600,176900,0.9411883333333324,0.9203933333333325,0.020794999999999897,0.022094409018386243
17,50,600,183670,0.06352166666666667,0.059226666666666664,0.004295000000000007,0.0676147246346392
17,80,600,180253,0.2156416666666667,0.20672833333333335,0.008913333333333356,0.04133400316883729
17,95,600,176394,0.9660799999999989,0.9502616666666657,0.015818333333333268,0.016373730263884237
18,50,600,182062,0.068295,0.06500333333333333,0.003291666666666665,0.048197769480440224
18,80,600,178828,0.21751333333333334,0.20858833333333332,0.008925000000000016,0.0410319673889724
18,95,600,175479,0.9991149999999991,0.9763733333333324,0.02274166666666666,0.022761810869285998
19,50,600,184993,0.060649999999999996,0.056913333333333316,0.00373666666666668,0.06161033250893125
19,80,600,181118,0.1958716666666667,0.18595333333333336,0.009918333333333335,0.05063689660747258
19,95,600,177649,0.8658633333333325,0.8481799999999993,0.017683333333333273,0.020422776496675715
20,50,600,184794,0.07041166666666665,0.06641666666666665,0.0039949999999999986,0.05673775652709068
20,80,600,181009,0.20603333333333332,0.19710666666666665,0.008926666666666666,0.04332632260152079
20,95,600,177331,0.8792266666666659,0.8605749999999992,0.018651666666666733,0.021213718115920144
21,50,600,182591,0.07215833333333335,0.06754333333333334,0.004615000000000008,0.06395657697193681
21,80,600,179441,0.23316500000000007,0.22350666666666671,0.009658333333333352,0.041422740691498934
21,95,600,175932,1.0041966666666657,0.9861933333333324,0.01800333333333337,0.017928095094254498
22,50,600,183285,0.07158000000000002,0.06849500000000003,0.0030849999999999905,0.043098630902486584
22,80,600,180096,0.221395,0.21380166666666667,0.007593333333333341,0.03429767308807037
22,95,600,177053,0.9734666666666657,0.952114999999999,0.021351666666666658,0.021933639227503094
23,50,600,185542,0.060151666666666645,0.05778,0.002371666666666647,0.03942811227175719
23,80,600,181054,0.19457333333333343,0.18742333333333344,0.00714999999999999,0.03674707051325971
23,95,600,177406,0.8634733333333324,0.8455149999999991,0.0179583333333333,0.02079778568726305
24,50,600,185179,0.06647499999999998,0.06198333333333332,0.004491666666666658,0.06756926162717802
24,80,600,181688,0.22461666666666674,0.21363833333333337,0.010978333333333368,0.048875862580693166
24,95,600,178181,1.0190166666666658,1.0013966666666658,0.01761999999999997,0.017291179404981913
25,50,600,183476,0.07398500000000001,0.07025,0.003735000000000002,0.0504832060552815
25,80,600,179995,0.23413666666666672,0.22451666666666673,0.00961999999999999,0.04108711436340594
25,95,600,176503,0.989879999999999,0.9749383333333322,0.014941666666666742,0.015094422219528385
26,50,600,183475,0.07041833333333333,0.06684666666666667,0.0035716666666666674,0.05072069300134909
26,80,600,180271,0.227335,0.2170216666666667,0.010313333333333313,0.04536623631791547
26,95,600,176600,1.0049683333333324,0.9885766666666658,0.016391666666666582,0.016310630019851304
27,50,600,181571,0.07168,0.06790166666666668,0.003778333333333314,0.0527111235119045
27,80,600,177791,0.23317500000000005,0.22133500000000006,0.01183999999999999,0.05077731317679848
27,95,600,174151,1.027724999999999,1.0047166666666656,0.023008333333333297,0.022387636121854897
28,50,600,184145,0.06700666666666664,0.06408499999999998,0.0029216666666666696,0.04360262660431804
28,80,600,180619,0.222175,0.2126533333333334,0.009521666666666623,0.04285660702899346
28,95,600,176942,1.0113116666666655,0.9947466666666657,0.01656499999999983,0.01637971808888442
29,50,600,183874,0.06344500000000002,0.059805,0.0036400000000000182,0.05737252738592509
29,80,600,180174,0.21934666666666675,0.2113433333333334,0.008003333333333335,0.03648714363868457
29,95,600,176582,1.0010133333333322,0.9750166666666655,0.025996666666666668,0.02597035004528747
30,50,600,184054,0.07349833333333332,0.07077,0.0027283333333333187,0.03712102315245225
30,80,600,180719,0.23760333333333336,0.22632500000000003,0.011278333333333335,0.04746706696034006
30,95,600,177285,1.0531799999999991,1.033174999999999,0.02000500000000005,0.018994853681232143
31,50,600,183707,0.08189166666666668,0.07866000000000002,0.0032316666666666605,0.039462704792917386
31,80,600,179890,0.25797666666666674,0.2472633333333334,0.010713333333333352,0.0415283035933483
31,95,600,176298,1.128919999999999,1.103724999999999,0.02519500000000008,0.02231779045459386
32,50,600,183375,0.081455,0.07746666666666667,0.00398833333333333,0.04896364045587539
32,80,600,180407,0.2510033333333334,0.24375833333333338,0.007245000000000029,0.028864158510511256
32,95,600,176858,1.0868799999999987,1.0719083333333321,0.014971666666666605,0.013774903086510583
33,50,600,183951,0.07122833333333331,0.06781,0.003418333333333315,0.04799120200294802
33,80,600,180412,0.21751166666666674,0.20689166666666672,0.010620000000000018,0.04882496724313645
33,95,600,176969,0.9561683333333324,0.9333316666666658,0.022836666666666616,0.023883521207039876
34,50,600,184676,0.06661166666666664,0.06408499999999998,0.002526666666666663,0.03793129331698648
34,80,600,181559,0.21231166666666668,0.20142166666666667,0.01089000000000001,0.05129251807484285
34,95,600,177387,0.9398749999999992,0.9171799999999992,0.02269500000000002,0.02414682803564308
35,50,600,182428,0.07861666666666665,0.07610333333333333,0.0025133333333333258,0.03196947212211142
35,80,600,179030,0.2545166666666667,0.24520000000000008,0.00931666666666664,0.03660533036474352
35,95,600,175824,1.1143716666666657,1.0995533333333325,0.014818333333333156,0.013297478549197233
36,50,600,184451,0.05889166666666666,0.05581833333333333,0.0030733333333333307,0.052186217631243766
36,80,600,180855,0.202495,0.19133833333333336,0.011156666666666648,0.055096010601084704
36,95,600,177288,0.907679999999999,0.8865133333333325,0.021166666666666556,0.023319525236500285
37,50,600,183681,0.06975166666666667,0.06655000000000001,0.0032016666666666582,0.045900934266803535
37,80,600,180463,0.23106499999999996,0.22118166666666667,0.0098833333333333,0.04277295710442214
37,95,600,176825,1.046483333333332,1.0262066666666656,0.0202766666666665,0.019376005351255655
38,50,600,183815,0.07153999999999996,0.06729166666666664,0.004248333333333326,0.059384027583636124
38,80,600,180614,0.23011500000000007,0.22115500000000007,0.008959999999999996,0.03893705321252414
38,95,600,177185,1.0335216666666658,1.0171033333333324,0.016418333333333424,0.015885814359641006
39,50,600,183756,0.06077000000000002,0.05795166666666671,0.0028183333333333116,0.046377050079534486
39,80,600,180447,0.20056333333333337,0.1915033333333334,0.009059999999999985,0.04517276338313741
39,95,600,176889,0.8704966666666658,0.8513283333333326,0.019168333333333232,0.022019996247352947
